SPEC_ID,NAME,RA,DEC,Z,Quality
38,g0000204-275357,0.08491667,-27.89913889,0.026853,4
42,g0003577-272317,0.99045833,-27.38811111,0.033283,4
45,g0000132-273800,0.05491667,-27.63333333,0.063397,4
46,g0000245-270933,0.10204167,-27.15916667,0.069931,4
49,g0000013-272556,0.0055,-27.43219444,0.062371,4
51,g0001084-274842,0.28516667,-27.81158333,0.062131,4
52,g0000143-264351,0.059375,-26.73094444,0.059858,4
55,g0000251-260240,0.10454167,-26.0445,0.050783,4
56,g0000558-255421,0.232375,-25.90580556,0.050263,4
58,g0002422-255415,0.67566667,-25.90402778,0.099161,4
60,g0001379-273357,0.40808333,-27.56580556,0.060848,4
61,g0000548-271054,0.22829167,-27.18158333,0.102109,4
63,g0001597-265228,0.49866667,-26.87444444,0.065438,4
64,g0000589-273132,0.24545833,-27.5255,0.028623,4
65,g0001337-282507,0.39033333,-28.41847222,0.06574,4
66,g0004256-264406,1.10670833,-26.73497222,0.026705,4
68,g0001170-281155,0.32095833,-28.19861111,0.06007,4
69,g0006026-261936,1.51066667,-26.32663889,0.027285,4
70,g0007531-261503,1.97104167,-26.25072222,0.059624,4
71,g0005250-270507,1.35416667,-27.08525,0.134994,4
73,g0007138-264514,1.80758333,-26.75377778,0.062383,3
74,g0002577-265725,0.740375,-26.95683333,0.064072,4
75,g0009155-265158,2.31475,-26.86619444,0.063063,3
76,g0003011-270807,0.75445833,-27.13519444,0.067221,4
78,g0012145-271124,3.06041667,-27.18991667,0.034702,4
79,g0005028-274253,1.26158333,-27.71458333,0.033193,4
81,g0013012-273059,3.25508333,-27.51633333,0.056294,4
82,g0009385-274622,2.410375,-27.77283333,0.009766,4
83,g0005585-275858,1.49391667,-27.98266667,0.62651,4
84,g0007506-280527,1.96091667,-28.09080556,0.027074,4
86,g0003357-280958,0.89858333,-28.16608333,0.06906,4
87,g0007255-283438,1.85625,-28.57727778,0.027333,4
88,g0007352-284121,1.89666667,-28.68911111,0.256558,4
89,g0007258-282111,1.85758333,-28.35302778,0.059928,4
91,g0011552-284350,2.98004167,-28.73063889,0.066711,4
92,g0011217-285116,2.84025,-28.85438889,0.062098,4
93,g0010324-285154,2.635125,-28.865,0.058472,4
94,g0012231-291726,3.096125,-29.29052778,0.055208,4
95,g0010027-290337,2.511125,-29.06019444,0.123577,4
96,g0005571-284252,1.488,-28.71447222,0.027153,4
97,g0010211-293219,2.587875,-29.53869444,0.044892,4
100,g0009246-295806,2.35258333,-29.96819444,0.139411,3
101,g0008227-295413,2.094375,-29.9035,0.005263,4
102,g0001587-283551,0.4945,-28.59747222,0.05971,4
103,g0004151-292222,1.06304167,-29.37277778,0.071639,4
105,g0001482-285233,0.45079167,-28.87580556,0.06169,4
108,g0003056-295159,0.77341667,-29.86647222,0.060839,4
109,g0002455-295850,0.68945833,-29.98066667,0.060649,4
111,g0000531-300714,0.221125,-30.12055556,0.058665,4
114,g0000315-282915,0.13141667,-28.4875,0.063066,4
145,g0000204-275357,0.08491667,-27.89913889,0.027319,4
148,g0003143-271428,0.8095,-27.24111111,0.02847,4
150,g0000013-272556,0.0055,-27.43219444,0.062371,4
151,g0000132-273800,0.05491667,-27.63333333,0.063337,4
152,g0001337-282507,0.39033333,-28.41847222,0.065627,4
154,g0005028-274253,1.26158333,-27.71458333,0.033124,4
158,g0001046-264748,0.26925,-26.79652778,0.102519,4
159,g0000245-270933,0.10204167,-27.15916667,0.070087,4
160,g0000143-264351,0.059375,-26.73094444,0.059661,4
161,g0001170-281155,0.32095833,-28.19861111,0.060621,4
164,g0000558-255421,0.232375,-25.90580556,0.050463,4
165,g0000589-273132,0.24545833,-27.5255,0.02857,4
166,g0001379-273357,0.40808333,-27.56580556,0.061051,4
169,g0006026-261936,1.51066667,-26.32663889,0.027216,4
170,g0007138-264514,1.80758333,-26.75377778,0.061724,4
171,g0005250-270507,1.35416667,-27.08525,0.135105,4
172,g0009155-265158,2.31475,-26.86619444,0.063311,4
173,g0003011-270807,0.75445833,-27.13519444,0.067122,4
175,g0012145-271124,3.06041667,-27.18991667,0.034853,4
176,g0013012-273059,3.25508333,-27.51633333,0.056505,4
177,g0009385-274622,2.410375,-27.77283333,0.009907,4
178,g0006144-274352,1.55979167,-27.73097222,0.056289,4
179,g0006139-272521,1.55808333,-27.42252778,0.060809,4
181,g0007506-280527,1.96091667,-28.09080556,0.027052,4
182,g0003357-280958,0.89858333,-28.16608333,0.068721,4
183,g0007258-282111,1.85758333,-28.35302778,0.059232,4
184,g0011552-284350,2.98004167,-28.73063889,0.066133,4
185,g0001482-285233,0.45079167,-28.87580556,0.06138,4
186,g0011217-285116,2.84025,-28.85438889,0.061863,4
187,g0007352-284121,1.89666667,-28.68911111,0.25604,4
188,g0010027-290337,2.511125,-29.06019444,0.122659,4
189,g0005571-284252,1.488,-28.71447222,0.02762,4
190,g0010211-293219,2.587875,-29.53869444,0.044833,4
191,g0001572-275958,0.48841667,-27.99944444,0.032439,4
195,g0004151-292222,1.06304167,-29.37277778,0.072536,4
199,g0005116-300634,1.2985,-30.10955556,0.20602,4
200,g0005171-302559,1.32108333,-30.43302778,0.027049,4
201,g0003056-295159,0.77341667,-29.86647222,0.060509,4
202,g0001084-274842,0.28516667,-27.81158333,0.062447,4
203,g0004303-295749,1.126125,-29.96355556,0.06305,4
204,g0002455-295850,0.68945833,-29.98066667,0.060719,4
205,g0001032-291829,0.26345833,-29.30808333,0.062419,4
206,g0001508-300532,0.46145833,-30.09233333,0.065055,4
207,g0001337-650344,0.39058333,-65.06213889,0.057337,4
211,g0000313-650312,0.13029167,-65.05333333,0.11741,4
250,g0000097-633538,0.04029167,-63.59375,0.137163,4
253,g0001272-630131,0.363125,-63.02519444,0.069759,4
258,g0004108-624426,1.04483333,-62.74047222,0.077626,4
262,g0004422-630051,1.175875,-63.01425,0.0827,4
264,g0000311-613840,0.129625,-61.64436111,0.078658,4
265,g0001315-623652,0.38116667,-62.61447222,0.078639,4
267,g0006026-613445,1.51083333,-61.57913889,0.093149,4
268,g0002332-621108,0.63845833,-62.18547222,0.132091,4
269,g0007303-610926,1.87620833,-61.15708333,0.029855,4
270,g0008249-610805,2.10358333,-61.13475,0.015284,4
271,g0004456-620342,1.18995833,-62.06155556,0.015305,4
272,g0005479-620714,1.449375,-62.12044444,0.015205,4
273,g0009365-613249,2.402,-61.54694444,0.098656,4
274,g0012108-620104,3.04504167,-62.01775,0.077046,4
275,g0011281-614450,2.86704167,-61.74722222,0.090986,4
276,g0013521-613629,3.466875,-61.60808333,0.098557,4
278,g0016224-612927,4.09345833,-61.49088889,0.144893,3
279,g0015191-614441,3.82941667,-61.74461111,0.029653,4
280,g0013074-625311,3.28095833,-62.88636111,0.031338,4
281,g0017325-614259,4.38529167,-61.71627778,0.061129,4
282,g0019365-614127,4.90191667,-61.69091667,0.037124,4
283,g0008523-623315,2.21791667,-62.55425,0.183705,3
284,g0004158-642525,1.06566667,-64.42372222,0.11854,4
286,g0023483-621610,5.95125,-62.26947222,0.033678,4
287,g0017231-625104,4.34608333,-62.85119444,0.049366,4
288,g0018100-624319,4.5415,-62.72205556,0.067537,4
289,g0025075-624204,6.281375,-62.70105556,0.042899,3
290,g0026040-625844,6.51666667,-62.97886111,0.033649,4
291,g0026173-630443,6.57208333,-63.07852778,0.067368,4
292,g0027116-630801,6.798375,-63.13347222,0.068108,4
293,g0016303-632400,4.12641667,-63.40005556,0.094529,4
294,g0017317-635250,4.382125,-63.88058333,0.042206,4
295,g0023016-634960,5.75679167,-63.83330556,0.042587,4
297,g0020570-635125,5.23741667,-63.85705556,0.005988,4
298,g0015356-635153,3.89816667,-63.86458333,0.099053,4
299,g0023539-642310,5.974375,-64.38619444,0.07468,3
300,g0017542-641137,4.47595833,-64.19372222,0.075172,4
301,g0025311-644324,6.379375,-64.72336111,0.103545,4
302,g0016361-641137,4.150375,-64.19361111,0.005878,4
303,g0013178-640535,3.32425,-64.09302778,0.101553,4
304,g0012054-640551,3.02266667,-64.09752778,0.029349,4
307,g0022159-651503,5.566375,-65.25088889,0.113483,3
308,g0009451-641625,2.43779167,-64.27366667,0.05727,4
309,g0010109-642619,2.54541667,-64.43863889,0.116991,4
310,g0008330-634212,2.13741667,-63.70341667,0.1186,4
311,g0015565-651329,3.98525,-65.22483333,0.057592,4
312,g0019386-654638,4.91075,-65.77733333,0.113453,4
313,g0007192-643237,1.83016667,-64.54355556,0.016428,4
314,g0017583-655736,4.49279167,-65.95986111,0.118333,4
315,g0015064-655414,3.77645833,-65.90377778,0.058893,4
318,g0004090-643920,1.037625,-64.65552778,0.042346,4
319,g0005594-642012,1.49729167,-64.33661111,0.057447,4
320,g0010548-661207,2.72825,-66.20186111,0.078084,4
321,g0009117-661642,2.298625,-66.27836111,0.098395,4
322,g0003262-651148,0.85916667,-65.19666667,0.029329,4
323,g0006368-653259,1.65341667,-65.54966667,0.19474,4
324,g0003142-652212,0.80925,-65.37002778,0.021559,3
325,g0003136-033053,0.80675,-3.51483333,0.074254,4
326,g0002386-033752,0.660625,-3.63108333,0.021003,4
328,g0002161-031402,0.566875,-3.23377778,0.068024,4
330,g0000444-032854,0.18495833,-3.48172222,0.047255,4
331,g0001394-025852,0.414,-2.98113889,0.10136,4
334,g0002567-021209,0.73608333,-2.20244444,0.109091,4
335,g0004229-020622,1.09533333,-2.106,0.110251,4
336,g0000263-023419,0.109625,-2.57183333,0.101956,4
337,g0001210-013812,0.33733333,-1.63655556,-4.20E-05,4
338,g0000177-022256,0.07375,-2.38227778,0.025653,4
345,g0000356-014547,0.1485,-1.76316667,0.02451,4
353,g0000222-013746,0.09229167,-1.62947222,0.038371,4
366,g0000529-011020,0.22054167,-1.17211111,0.195078,4
368,g0001358-002343,0.39895833,-0.39525,0.078349,4
369,g0003057-015450,0.77358333,-1.91380556,0.024444,4
370,g0001134-005935,0.306,-0.993,0.084899,4
372,g0000078-000226,0.032625,-0.04063889,0.023904,4
373,g0000394-000047,0.16404167,-0.01311111,0.079519,4
374,g0004071-005149,1.02970833,-0.86363889,0.033695,4
375,g0004037-002947,1.01554167,-0.49636111,0.159856,4
376,g0004072-001544,1.03,-0.26225,0.076939,4
377,g0004472-013413,1.19675,-1.57022222,0.024025,4
378,g0001509-003914,0.46204167,-0.65386111,0.077419,4
379,g0006289-004703,1.62025,-0.78416667,0.044414,4
